,difference_in_rates,discharge_year,expected_rate_per_100_000_people,observed_rate_per_100_000_people,patient_zip_code,pdi_name,pdi_number,risk_adjusted_rate_per_100_000_people
535,-18.83,2012,133.07,114.24,10021,Asthma,PDI_14,180.62
553,280.28,2012,423.86,704.14,10026,Asthma,PDI_14,349.51
561,-23.33,2009,158.33,135.0,10022,Asthma,PDI_14,207.16
562,28.42,2010,129.21,157.63,10022,Asthma,PDI_14,251.04
563,-62.96,2011,128.77,65.81,10022,Asthma,PDI_14,105.42
564,-57.84,2012,151.3,93.46,10022,Asthma,PDI_14,129.96
589,-110.02,2009,180.85,70.83,10023,Asthma,PDI_14,95.15
590,-0.27,2010,149.52,149.25,10023,Asthma,PDI_14,205.41
591,-59.97,2011,147.37,87.4,10023,Asthma,PDI_14,122.34
592,-18.51,2012,164.53,146.02,10023,Asthma,PDI_14,186.73
617,15.72,2009,160.69,176.41,10024,Asthma,PDI_14,266.71
618,-22.81,2010,130.64,107.83,10024,Asthma,PDI_14,169.84
619,-11.92,2011,127.35,115.43,10024,Asthma,PDI_14,186.97
620,32.79,2012,148.99,181.78,10024,Asthma,PDI_14,256.7
645,69.48,2009,247.81,317.29,10025,Asthma,PDI_14,311.06
646,-23.74,2010,205.13,181.39,10025,Asthma,PDI_14,181.96
647,113.61,2011,198.87,312.48,10025,Asthma,PDI_14,324.12
648,-62.73,2012,223.98,161.25,10025,Asthma,PDI_14,151.47
673,118.1,2009,497.04,615.14,10026,Asthma,PDI_14,300.69
674,31.6,2010,423.65,455.25,10026,Asthma,PDI_14,221.13
675,2.12,2011,425.13,427.25,10026,Asthma,PDI_14,207.31
700,134.76,2009,450.08,584.84,10027,Asthma,PDI_14,315.7
701,109.02,2010,384.93,493.95,10027,Asthma,PDI_14,264.05
702,253.62,2011,387.57,641.19,10027,Asthma,PDI_14,341.26
703,363.33,2012,405.9,769.23,10027,Asthma,PDI_14,398.72
728,-45.13,2009,137.69,92.56,10028,Asthma,PDI_14,163.33
729,-21.98,2010,111.92,89.94,10028,Asthma,PDI_14,165.36
730,3.11,2011,110.79,113.9,10028,Asthma,PDI_14,212.06
731,84.42,2012,124.35,208.77,10028,Asthma,PDI_14,353.23
756,286.75,2009,405.05,691.79,10029,Asthma,PDI_14,414.95
757,331.21,2010,345.84,677.05,10029,Asthma,PDI_14,402.85
758,393.73,2011,344.06,737.79,10029,Asthma,PDI_14,442.34
759,379.86,2012,351.95,731.81,10029,Asthma,PDI_14,437.46
784,269.82,2009,509.7,779.51,10030,Asthma,PDI_14,371.56
785,268.68,2010,436.51,705.18,10030,Asthma,PDI_14,332.44
786,217.53,2011,436.75,654.28,10030,Asthma,PDI_14,309.01
787,307.42,2012,445.3,752.72,10030,Asthma,PDI_14,355.64
812,-136.04,2009,398.75,262.71,10031,Asthma,PDI_14,160.07
813,6.43,2010,337.79,344.22,10031,Asthma,PDI_14,209.69
814,80.39,2011,332.96,413.35,10031,Asthma,PDI_14,256.08
815,42.83,2012,344.83,387.66,10031,Asthma,PDI_14,236.52
840,-160.67,2009,370.86,210.19,10032,Asthma,PDI_14,137.7
841,-100.08,2010,313.05,212.97,10032,Asthma,PDI_14,139.99
842,-134.72,2011,304.8,170.08,10032,Asthma,PDI_14,115.1
843,-98.46,2012,317.56,219.1,10032,Asthma,PDI_14,145.16
868,-137.77,2009,328.14,190.37,10033,Asthma,PDI_14,140.95
869,-66.09,2010,277.22,211.13,10033,Asthma,PDI_14,156.72
870,18.62,2011,267.82,286.44,10033,Asthma,PDI_14,220.62
871,-14.87,2012,281.14,266.27,10033,Asthma,PDI_14,199.27
896,-146.77,2009,345.71,198.94,10034,Asthma,PDI_14,139.81
897,-177.12,2010,291.44,114.32,10034,Asthma,PDI_14,80.72
898,-105.78,2011,282.04,176.26,10034,Asthma,PDI_14,128.91
899,-35.33,2012,301.69,266.36,10034,Asthma,PDI_14,185.75
924,138.7,2009,440.54,579.24,10035,Asthma,PDI_14,319.44
925,180.69,2010,378.23,558.91,10035,Asthma,PDI_14,304.08
926,191.21,2011,374.73,565.94,10035,Asthma,PDI_14,311.53
927,142.25,2012,374.35,516.6,10035,Asthma,PDI_14,290.33
952,-158.31,2009,325.07,166.76,10036,Asthma,PDI_14,124.63
953,-109.51,2010,271.5,161.99,10036,Asthma,PDI_14,122.78
954,-11.97,2011,271.85,259.88,10036,Asthma,PDI_14,197.19
955,-8.05,2012,220.25,212.2,10036,Asthma,PDI_14,202.7
980,-78.01,2009,514.57,436.56,10037,Asthma,PDI_14,206.12
981,-47.33,2010,441.76,394.43,10037,Asthma,PDI_14,183.73
982,168.51,2011,444.13,612.64,10037,Asthma,PDI_14,284.54
983,337.87,2012,446.1,783.97,10037,Asthma,PDI_14,369.74
1008,-44.05,2009,223.66,179.61,10038,Asthma,PDI_14,195.11
1009,-62.64,2010,192.23,129.59,10038,Asthma,PDI_14,138.72
1010,164.38,2011,190.7,355.08,10038,Asthma,PDI_14,384.08
1011,13.04,2012,216.0,229.04,10038,Asthma,PDI_14,223.09
1036,133.68,2009,493.18,626.86,10039,Asthma,PDI_14,308.81
1037,252.79,2010,423.1,675.89,10039,Asthma,PDI_14,328.72
1038,229.55,2011,425.33,654.88,10039,Asthma,PDI_14,317.61
1039,409.77,2012,428.0,837.76,10039,Asthma,PDI_14,411.82
1046,-86.98,2009,319.74,232.76,10301,Asthma,PDI_14,176.87
1065,-177.72,2009,337.82,160.1,10040,Asthma,PDI_14,115.14
1066,-118.77,2010,284.68,165.91,10040,Asthma,PDI_14,119.92
1067,-113.27,2011,275.22,161.95,10040,Asthma,PDI_14,121.38
1068,-68.72,2012,292.23,223.51,10040,Asthma,PDI_14,160.92
1093,-145.9,2009,304.97,159.07,10044,Asthma,PDI_14,126.72
1094,-110.85,2010,264.93,154.08,10044,Asthma,PDI_14,119.68
1095,-158.31,2011,264.69,106.38,10044,Asthma,PDI_14,82.91
1096,-169.81,2012,276.08,106.27,10044,Asthma,PDI_14,80.98
1121,-13.82,2009,176.19,162.37,10128,Asthma,PDI_14,223.9
1122,1.11,2010,146.63,147.74,10128,Asthma,PDI_14,207.34
1123,51.29,2011,145.61,196.9,10128,Asthma,PDI_14,278.94
1124,19.74,2012,163.84,183.58,10128,Asthma,PDI_14,235.73
1149,-52.59,2009,164.07,111.48,10280,Asthma,PDI_14,165.08
1150,-87.05,2010,135.2,48.15,10280,Asthma,PDI_14,73.28
1151,152.68,2011,129.27,281.95,10280,Asthma,PDI_14,449.91
1152,-95.16,2012,171.67,76.51,10280,Asthma,PDI_14,93.77
1177,60.66,2010,271.79,332.45,10301,Asthma,PDI_14,251.7
1178,-38.73,2011,276.72,237.99,10301,Asthma,PDI_14,177.4
1179,-23.37,2012,279.15,255.78,10301,Asthma,PDI_14,192.78
1204,-55.87,2009,297.31,241.44,10302,Asthma,PDI_14,197.3
1205,-12.11,2010,251.45,239.34,10302,Asthma,PDI_14,195.87
1206,32.36,2011,255.44,287.8,10302,Asthma,PDI_14,232.41
1207,39.94,2012,275.58,315.52,10302,Asthma,PDI_14,240.89
1220,-82.05,2012,279.89,197.84,10304,Asthma,PDI_14,148.72
1233,-78.32,2009,369.63,291.31,10303,Asthma,PDI_14,191.48
1234,-67.63,2010,315.38,247.75,10303,Asthma,PDI_14,161.65
1235,-19.84,2011,322.04,302.2,10303,Asthma,PDI_14,193.57
1236,15.37,2012,327.99,343.36,10303,Asthma,PDI_14,220.25
1261,-45.4,2009,334.22,288.82,10304,Asthma,PDI_14,209.95
1262,-20.49,2010,286.7,266.21,10304,Asthma,PDI_14,191.07
1263,-28.7,2011,289.39,260.69,10304,Asthma,PDI_14,185.82
1288,-67.16,2009,200.05,132.89,10305,Asthma,PDI_14,161.39
1289,-25.58,2010,169.4,143.82,10305,Asthma,PDI_14,174.7
1290,-91.13,2011,170.78,79.65,10305,Asthma,PDI_14,96.21
1291,-87.48,2012,156.24,68.76,10305,Asthma,PDI_14,92.59
1316,36.72,2009,148.09,184.81,10306,Asthma,PDI_14,303.19
1317,11.1,2010,122.99,134.09,10306,Asthma,PDI_14,224.36
1318,-20.21,2011,123.71,103.5,10306,Asthma,PDI_14,172.59
1319,-32.2,2012,120.36,88.16,10306,Asthma,PDI_14,154.11
1344,-65.26,2009,119.7,54.44,10307,Asthma,PDI_14,110.49
1345,-70.68,2010,97.96,27.28,10307,Asthma,PDI_14,57.3
1346,41.28,2011,96.57,137.85,10307,Asthma,PDI_14,294.47
1347,12.67,2012,96.71,109.38,10307,Asthma,PDI_14,237.94
1372,-82.97,2009,128.87,45.9,10308,Asthma,PDI_14,86.53
1373,-76.14,2010,106.52,30.38,10308,Asthma,PDI_14,58.68
1374,-61.54,2011,107.67,46.13,10308,Asthma,PDI_14,88.39
1375,-20.84,2012,104.92,84.08,10308,Asthma,PDI_14,168.6
1400,-30.78,2009,121.68,90.9,10309,Asthma,PDI_14,181.49
1401,18.96,2010,99.52,118.48,10309,Asthma,PDI_14,244.98
1402,-46.26,2011,100.21,53.95,10309,Asthma,PDI_14,111.06
1403,38.36,2012,94.44,132.8,10309,Asthma,PDI_14,295.84
1428,80.67,2009,292.84,373.51,10310,Asthma,PDI_14,309.88
1429,-0.16,2010,253.24,253.08,10310,Asthma,PDI_14,205.65
1430,106.86,2011,254.28,361.13,10310,Asthma,PDI_14,292.97
1431,-34.02,2012,263.83,229.81,10310,Asthma,PDI_14,183.26
1456,-102.61,2009,132.13,29.52,10312,Asthma,PDI_14,54.28
1457,-36.36,2010,110.23,73.87,10312,Asthma,PDI_14,137.89
1458,-50.0,2011,110.43,60.43,10312,Asthma,PDI_14,112.89
1459,-50.94,2012,108.0,57.06,10312,Asthma,PDI_14,111.16
1484,2.66,2009,164.97,167.63,10314,Asthma,PDI_14,246.87
1485,-53.55,2010,140.06,86.51,10314,Asthma,PDI_14,127.1
1486,-51.85,2011,144.18,92.33,10314,Asthma,PDI_14,132.09
1487,-31.14,2012,144.86,113.72,10314,Asthma,PDI_14,165.16
1512,717.4,2009,386.08,1103.47,10451,Asthma,PDI_14,694.4
1513,297.28,2010,326.2,623.48,10451,Asthma,PDI_14,393.31
1514,637.76,2011,324.32,962.08,10451,Asthma,PDI_14,611.91
1515,442.24,2012,343.35,785.59,10451,Asthma,PDI_14,481.39
1540,149.0,2009,392.32,541.31,10452,Asthma,PDI_14,335.22
1541,127.71,2010,331.42,459.13,10452,Asthma,PDI_14,285.06
1542,93.83,2011,327.54,421.37,10452,Asthma,PDI_14,265.37
1543,270.95,2012,338.7,609.65,10452,Asthma,PDI_14,378.69
1568,307.89,2009,392.82,700.7,10453,Asthma,PDI_14,433.38
1569,244.46,2010,331.59,576.05,10453,Asthma,PDI_14,357.49
1570,232.96,2011,328.4,561.36,10453,Asthma,PDI_14,352.6
1571,261.3,2012,337.5,598.8,10453,Asthma,PDI_14,373.28
1596,743.7,2009,378.39,1122.09,10454,Asthma,PDI_14,720.46
1597,526.43,2010,318.99,845.42,10454,Asthma,PDI_14,545.38
1598,739.1,2011,316.02,1055.12,10454,Asthma,PDI_14,688.71
1599,785.09,2012,329.72,1114.81,10454,Asthma,PDI_14,711.34
1608,441.96,2010,324.24,766.2,10459,Asthma,PDI_14,486.27
1625,850.6,2009,365.12,1215.72,10455,Asthma,PDI_14,808.96
1626,626.91,2010,307.99,934.9,10455,Asthma,PDI_14,624.63
1627,783.37,2011,305.48,1088.84,10455,Asthma,PDI_14,735.25
1628,846.31,2012,324.07,1170.38,10455,Asthma,PDI_14,759.83
1651,373.28,2011,321.58,694.86,10459,Asthma,PDI_14,445.71
1654,506.34,2009,402.03,908.37,10456,Asthma,PDI_14,548.95
1655,423.78,2010,340.58,764.36,10456,Asthma,PDI_14,461.82
1656,461.03,2011,337.35,798.38,10456,Asthma,PDI_14,488.18
1657,519.94,2012,354.22,874.16,10456,Asthma,PDI_14,519.21
1682,390.18,2009,400.84,791.02,10457,Asthma,PDI_14,479.45
1683,388.21,2010,338.46,726.67,10457,Asthma,PDI_14,441.8
1684,396.0,2011,336.91,732.91,10457,Asthma,PDI_14,448.74
1685,481.1,2012,349.9,831.0,10457,Asthma,PDI_14,499.68
1710,417.05,2009,368.92,785.97,10458,Asthma,PDI_14,517.6
1711,336.23,2010,312.23,648.46,10458,Asthma,PDI_14,427.37
1712,279.93,2011,309.15,589.08,10458,Asthma,PDI_14,393.06
1713,351.61,2012,319.18,670.79,10458,Asthma,PDI_14,442.15
1738,445.78,2009,382.47,828.25,10459,Asthma,PDI_14,526.13
1739,407.13,2012,340.26,747.39,10459,Asthma,PDI_14,462.13
1764,390.6,2009,392.56,783.16,10460,Asthma,PDI_14,484.7
1765,398.49,2010,331.35,729.84,10460,Asthma,PDI_14,453.25
1766,458.03,2011,328.81,786.84,10460,Asthma,PDI_14,493.62
1767,298.07,2012,343.07,641.14,10460,Asthma,PDI_14,393.18
1792,305.02,2009,238.16,543.18,10461,Asthma,PDI_14,554.12
1793,163.71,2010,201.49,365.2,10461,Asthma,PDI_14,372.96
1794,360.09,2011,201.59,561.68,10461,Asthma,PDI_14,574.73
1795,398.98,2012,221.75,620.73,10461,Asthma,PDI_14,588.94
1820,210.66,2009,350.31,560.97,10462,Asthma,PDI_14,389.06
1821,408.2,2010,296.73,704.93,10462,Asthma,PDI_14,488.86
1822,234.46,2011,297.4,531.86,10462,Asthma,PDI_14,368.9
1823,298.87,2012,298.59,597.46,10462,Asthma,PDI_14,420.98
1848,-79.28,2009,304.0,224.72,10463,Asthma,PDI_14,179.59
1849,52.91,2010,254.12,307.03,10463,Asthma,PDI_14,248.62
1850,24.09,2011,252.96,277.05,10463,Asthma,PDI_14,225.92
1851,42.57,2012,264.22,306.79,10463,Asthma,PDI_14,244.29
1876,-47.86,2009,159.47,111.61,10464,Asthma,PDI_14,170.03
1877,94.47,2010,132.29,226.76,10464,Asthma,PDI_14,352.71
1878,-27.33,2011,141.75,114.42,10464,Asthma,PDI_14,166.5
1879,437.77,2012,156.05,593.82,10464,Asthma,PDI_14,800.63
1904,190.89,2009,232.1,422.99,10465,Asthma,PDI_14,442.77
1905,122.43,2010,193.23,315.66,10465,Asthma,PDI_14,336.17
1906,81.18,2011,193.94,275.12,10465,Asthma,PDI_14,292.62
1907,184.34,2012,216.89,401.23,10465,Asthma,PDI_14,389.2
1911,-97.26,2010,97.26,0.0,10501,Asthma,PDI_14,0.0
1933,54.85,2009,467.17,522.01,10466,Asthma,PDI_14,271.47
1934,192.5,2010,400.73,593.23,10466,Asthma,PDI_14,304.63
1935,220.61,2011,406.42,627.03,10466,Asthma,PDI_14,318.24
1936,236.78,2012,419.81,656.58,10466,Asthma,PDI_14,329.06
1961,421.33,2009,394.66,815.99,10467,Asthma,PDI_14,502.33
1962,532.14,2010,336.15,868.29,10467,Asthma,PDI_14,531.53
1963,417.5,2011,337.12,754.62,10467,Asthma,PDI_14,461.74
1964,485.7,2012,332.95,818.65,10467,Asthma,PDI_14,517.3
1989,255.47,2009,364.91,620.38,10468,Asthma,PDI_14,413.05
1990,72.54,2010,306.95,379.49,10468,Asthma,PDI_14,254.4
1991,158.86,2011,302.72,461.58,10468,Asthma,PDI_14,314.53
1992,145.08,2012,311.52,456.6,10468,Asthma,PDI_14,308.37
2017,146.04,2009,431.57,577.61,10469,Asthma,PDI_14,325.17
2018,170.67,2010,370.51,541.18,10469,Asthma,PDI_14,300.57
2019,301.28,2011,375.94,677.22,10469,Asthma,PDI_14,371.58
2020,282.37,2012,381.02,663.39,10469,Asthma,PDI_14,366.31
2045,-31.81,2009,341.41,309.6,10470,Asthma,PDI_14,220.31
2046,-139.05,2010,290.02,150.97,10470,Asthma,PDI_14,107.12
2047,-19.29,2011,292.93,273.64,10470,Asthma,PDI_14,192.69
2048,158.57,2012,306.98,465.55,10470,Asthma,PDI_14,319.06
2073,-98.88,2009,216.53,117.65,10471,Asthma,PDI_14,132.01
2074,141.06,2010,185.16,326.22,10471,Asthma,PDI_14,362.53
2075,-11.35,2011,186.63,175.28,10471,Asthma,PDI_14,193.74
2076,37.14,2012,185.21,222.35,10471,Asthma,PDI_14,252.57
2084,-98.54,2011,98.54,0.0,10501,Asthma,PDI_14,0.0
2102,374.95,2009,385.89,760.83,10472,Asthma,PDI_14,479.02
2103,341.74,2010,327.47,669.21,10472,Asthma,PDI_14,420.52
2104,464.65,2011,328.05,792.69,10472,Asthma,PDI_14,498.45
2105,516.95,2012,332.66,849.61,10472,Asthma,PDI_14,537.34
2130,277.43,2009,393.84,671.27,10473,Asthma,PDI_14,414.1
2131,232.09,2010,334.98,567.07,10473,Asthma,PDI_14,348.35
2132,461.97,2011,334.24,796.21,10473,Asthma,PDI_14,491.39
2133,388.88,2012,348.17,737.05,10473,Asthma,PDI_14,445.38
2158,296.73,2009,369.49,666.22,10474,Asthma,PDI_14,438.07
2159,295.65,2010,310.67,606.32,10474,Asthma,PDI_14,401.61
2160,341.44,2011,313.3,654.74,10474,Asthma,PDI_14,431.08
2161,420.86,2012,313.91,734.77,10474,Asthma,PDI_14,492.47
2186,80.64,2009,434.82,515.46,10475,Asthma,PDI_14,288.01
2187,31.55,2010,371.84,403.39,10475,Asthma,PDI_14,223.24
2188,19.77,2011,374.76,394.53,10475,Asthma,PDI_14,217.16
2189,203.7,2012,392.15,595.85,10475,Asthma,PDI_14,319.68
2214,-120.81,2009,120.81,0.0,10501,Asthma,PDI_14,0.0
2215,-98.99,2012,98.99,0.0,10501,Asthma,PDI_14,0.0
2240,-126.27,2009,126.27,0.0,10502,Asthma,PDI_14,0.0
2241,-107.59,2010,107.59,0.0,10502,Asthma,PDI_14,0.0
2242,-107.15,2011,107.15,0.0,10502,Asthma,PDI_14,0.0
2243,-113.48,2012,113.48,0.0,10502,Asthma,PDI_14,0.0
2268,-22.57,2009,110.83,88.26,10504,Asthma,PDI_14,193.48
2269,-90.27,2010,90.27,0.0,10504,Asthma,PDI_14,0.0
2270,-90.27,2011,90.27,0.0,10504,Asthma,PDI_14,0.0
2271,-45.67,2012,91.48,45.81,10504,Asthma,PDI_14,105.35
2296,-121.31,2009,121.31,0.0,10505,Asthma,PDI_14,0.0
2297,1765.86,2010,120.93,1886.79,10505,Asthma,PDI_14,3210.53
2298,381.65,2011,118.36,500.0,10505,Asthma,PDI_14,871.43
2299,274.95,2012,125.06,400.0,10505,Asthma,PDI_14,672.96
2324,-113.83,2009,113.83,0.0,10506,Asthma,PDI_14,0.0
2325,-89.22,2010,89.22,0.0,10506,Asthma,PDI_14,0.0
2326,-27.34,2011,86.62,59.28,10506,Asthma,PDI_14,141.16
2327,-102.06,2012,102.06,0.0,10506,Asthma,PDI_14,0.0
2352,-0.95,2009,135.81,134.86,10507,Asthma,PDI_14,241.26
2353,-42.42,2010,111.1,68.68,10507,Asthma,PDI_14,127.21
2354,-112.45,2011,112.45,0.0,10507,Asthma,PDI_14,0.0
2355,-52.56,2012,127.64,75.08,10507,Asthma,PDI_14,123.75
2381,-77.36,2009,146.64,69.28,10509,Asthma,PDI_14,114.79
2382,-26.47,2010,120.59,94.12,10509,Asthma,PDI_14,160.61
2383,16.31,2011,120.36,136.67,10509,Asthma,PDI_14,234.23
2384,-10.66,2012,120.55,109.89,10509,Asthma,PDI_14,191.79
2409,-50.45,2009,123.18,72.73,10510,Asthma,PDI_14,143.45
2410,-101.89,2010,101.89,0.0,10510,Asthma,PDI_14,0.0
2411,-27.13,2011,101.01,73.88,10510,Asthma,PDI_14,150.89
2412,-7.93,2012,117.38,109.45,10510,Asthma,PDI_14,196.18
2437,-134.02,2009,134.02,0.0,10511,Asthma,PDI_14,0.0
2438,-116.37,2010,116.37,0.0,10511,Asthma,PDI_14,0.0
2439,-113.97,2011,113.97,0.0,10511,Asthma,PDI_14,0.0
2440,-148.98,2012,148.98,0.0,10511,Asthma,PDI_14,0.0
2465,-126.75,2009,144.06,17.31,10512,Asthma,PDI_14,29.19
2466,-65.9,2010,119.27,53.37,10512,Asthma,PDI_14,92.09
2467,-13.37,2011,119.13,105.76,10512,Asthma,PDI_14,183.13
2468,-118.12,2012,118.12,0.0,10512,Asthma,PDI_14,0.0
2493,-30.34,2009,115.47,85.13,10514,Asthma,PDI_14,179.12
2494,-35.59,2010,94.1,58.51,10514,Asthma,PDI_14,127.96
2495,-5.36,2011,93.13,87.77,10514,Asthma,PDI_14,194.4
2496,-40.52,2012,98.17,57.65,10514,Asthma,PDI_14,123.55
2521,-128.47,2009,128.47,0.0,10516,Asthma,PDI_14,0.0
2522,-105.42,2010,105.42,0.0,10516,Asthma,PDI_14,0.0
2523,-14.7,2011,106.11,91.41,10516,Asthma,PDI_14,177.69
2524,-105.31,2012,105.31,0.0,10516,Asthma,PDI_14,0.0
2549,-115.81,2009,115.81,0.0,10518,Asthma,PDI_14,0.0
2550,407.97,2010,99.64,507.61,10518,Asthma,PDI_14,1048.31
2551,-94.57,2011,94.57,0.0,10518,Asthma,PDI_14,0.0
2552,-119.98,2012,119.98,0.0,10518,Asthma,PDI_14,0.0
2568,-39.74,2010,103.5,63.76,10528,Asthma,PDI_14,126.75
2577,-145.13,2009,145.13,0.0,10520,Asthma,PDI_14,0.0
2578,-54.32,2010,121.12,66.8,10520,Asthma,PDI_14,113.49
2579,-88.09,2011,121.2,33.11,10520,Asthma,PDI_14,56.36
2580,-4.36,2012,135.12,130.76,10520,Asthma,PDI_14,203.6
2605,-124.72,2009,164.61,39.89,10522,Asthma,PDI_14,58.87
2606,-97.58,2010,138.41,40.83,10522,Asthma,PDI_14,60.71
2607,-58.42,2011,140.45,82.03,10522,Asthma,PDI_14,120.48
2608,-26.31,2012,145.74,119.43,10522,Asthma,PDI_14,172.4
2633,-116.34,2009,288.75,172.41,10523,Asthma,PDI_14,145.07
2634,-61.47,2010,236.4,174.93,10523,Asthma,PDI_14,152.27
2635,-245.03,2011,245.03,0.0,10523,Asthma,PDI_14,0.0
2636,-256.28,2012,256.28,0.0,10523,Asthma,PDI_14,0.0
2661,-124.85,2009,124.85,0.0,10524,Asthma,PDI_14,0.0
