,expected_rate_per_100_000_people,observed_rate_per_100_000_people,patient_zipcode,pqi_name,pqi_number,year
619,66.22,133.43,10009,Asthma in Younger Adults,PQI_15,2012
656,512.49,169.95,10010,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
657,474.65,261.14,10010,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
658,482.02,236.39,10010,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
659,488.84,215.93,10010,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
688,64.79,32.78,10010,Asthma in Younger Adults,PQI_15,2009
689,53.57,8.36,10010,Asthma in Younger Adults,PQI_15,2010
690,51.26,15.84,10010,Asthma in Younger Adults,PQI_15,2011
691,53.68,7.48,10010,Asthma in Younger Adults,PQI_15,2012
729,462.55,303.27,10011,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
730,429.22,267.41,10011,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
731,430.98,230.45,10011,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
732,444.29,382.8,10011,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
761,67.21,17.27,10011,Asthma in Younger Adults,PQI_15,2009
762,54.89,29.37,10011,Asthma in Younger Adults,PQI_15,2010
763,53.02,40.7,10011,Asthma in Younger Adults,PQI_15,2011
764,56.1,42.57,10011,Asthma in Younger Adults,PQI_15,2012
801,434.94,307.12,10012,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
802,402.27,149.05,10012,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
803,414.92,133.65,10012,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
804,429.55,258.28,10012,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
833,57.09,17.71,10012,Asthma in Younger Adults,PQI_15,2009
834,48.07,0.0,10012,Asthma in Younger Adults,PQI_15,2010
835,46.2,0.0,10012,Asthma in Younger Adults,PQI_15,2011
836,50.71,0.0,10012,Asthma in Younger Adults,PQI_15,2012
873,355.85,250.58,10013,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
874,344.52,163.35,10013,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
875,345.18,194.81,10013,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
876,357.72,210.65,10013,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
905,62.26,22.99,10013,Asthma in Younger Adults,PQI_15,2009
906,51.59,23.54,10013,Asthma in Younger Adults,PQI_15,2010
907,54.12,0.0,10013,Asthma in Younger Adults,PQI_15,2011
908,47.52,0.0,10013,Asthma in Younger Adults,PQI_15,2012
945,432.41,324.94,10014,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
946,400.95,134.75,10014,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
947,405.02,160.27,10014,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
948,416.35,178.64,10014,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
977,62.15,7.37,10014,Asthma in Younger Adults,PQI_15,2009
978,51.26,15.07,10014,Asthma in Younger Adults,PQI_15,2010
979,49.17,0.0,10014,Asthma in Younger Adults,PQI_15,2011
980,53.35,0.0,10014,Asthma in Younger Adults,PQI_15,2012
1017,458.92,368.39,10016,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1018,426.58,486.09,10016,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1019,434.5,453.42,10016,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1020,437.03,295.24,10016,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1049,57.97,29.04,10016,Asthma in Younger Adults,PQI_15,2009
1050,48.51,30.03,10016,Asthma in Younger Adults,PQI_15,2010
1051,46.75,24.31,10016,Asthma in Younger Adults,PQI_15,2011
1052,48.51,23.21,10016,Asthma in Younger Adults,PQI_15,2012
1090,450.78,213.62,10017,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1091,425.81,254.65,10017,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1092,428.67,253.55,10017,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1093,427.57,244.31,10017,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1122,60.61,15.84,10017,Asthma in Younger Adults,PQI_15,2009
1123,51.15,0.0,10017,Asthma in Younger Adults,PQI_15,2010
1124,49.17,31.02,10017,Asthma in Younger Adults,PQI_15,2011
1125,48.84,15.51,10017,Asthma in Younger Adults,PQI_15,2012
1162,401.94,782.76,10018,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1163,388.41,709.61,10018,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1164,401.17,397.98,10018,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1165,407.77,286.99,10018,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1194,59.84,40.26,10018,Asthma in Younger Adults,PQI_15,2009
1195,50.6,0.0,10018,Asthma in Younger Adults,PQI_15,2010
1196,49.06,114.18,10018,Asthma in Younger Adults,PQI_15,2011
1197,49.61,36.19,10018,Asthma in Younger Adults,PQI_15,2012
1233,525.14,423.72,10019,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1234,493.13,406.23,10019,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1235,502.37,289.63,10019,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1236,496.98,271.7,10019,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1265,68.75,51.81,10019,Asthma in Younger Adults,PQI_15,2009
1266,56.98,30.14,10019,Asthma in Younger Adults,PQI_15,2010
1267,54.56,40.92,10019,Asthma in Younger Adults,PQI_15,2011
1268,51.92,11.66,10019,Asthma in Younger Adults,PQI_15,2012
1305,501.27,195.58,10021,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1306,461.56,206.69,10021,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1307,468.38,225.39,10021,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1308,477.4,152.57,10021,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1337,60.72,15.95,10021,Asthma in Younger Adults,PQI_15,2009
1338,49.94,9.79,10021,Asthma in Younger Adults,PQI_15,2010
1339,48.18,9.57,10021,Asthma in Younger Adults,PQI_15,2011
1340,50.93,2.97,10021,Asthma in Younger Adults,PQI_15,2012
1377,525.69,135.3,10022,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1378,481.69,131.34,10022,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1379,485.54,158.07,10022,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1380,474.76,109.67,10022,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1409,61.38,0.0,10022,Asthma in Younger Adults,PQI_15,2009
1410,50.82,22.99,10022,Asthma in Younger Adults,PQI_15,2010
1411,48.84,11.33,10022,Asthma in Younger Adults,PQI_15,2011
1412,50.05,10.78,10022,Asthma in Younger Adults,PQI_15,2012
1449,501.6,204.93,10023,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1450,464.86,226.71,10023,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1451,472.34,200.42,10023,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1452,481.25,244.75,10023,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1481,61.93,31.35,10023,Asthma in Younger Adults,PQI_15,2009
1482,50.82,4.18,10023,Asthma in Younger Adults,PQI_15,2010
1483,49.5,16.61,10023,Asthma in Younger Adults,PQI_15,2011
1484,52.69,12.32,10023,Asthma in Younger Adults,PQI_15,2012
1521,489.72,304.04,10024,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1522,455.4,223.19,10024,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1523,462.55,255.75,10024,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1524,488.95,247.17,10024,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1553,67.87,48.62,10024,Asthma in Younger Adults,PQI_15,2009
1554,55.0,16.94,10024,Asthma in Younger Adults,PQI_15,2010
1555,52.47,16.94,10024,Asthma in Younger Adults,PQI_15,2011
1556,56.87,22.0,10024,Asthma in Younger Adults,PQI_15,2012
1593,597.52,574.86,10025,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1594,564.3,512.16,10025,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1595,566.28,476.3,10025,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1596,599.72,494.67,10025,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1625,86.68,38.72,10025,Asthma in Younger Adults,PQI_15,2009
1626,69.52,39.49,10025,Asthma in Younger Adults,PQI_15,2010
1627,64.79,34.76,10025,Asthma in Younger Adults,PQI_15,2011
1628,68.75,46.53,10025,Asthma in Younger Adults,PQI_15,2012
1665,877.25,1045.66,10026,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1666,820.82,924.88,10026,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1667,839.52,925.76,10026,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1668,791.89,842.38,10026,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1697,181.5,367.73,10026,Asthma in Younger Adults,PQI_15,2009
1698,140.25,232.54,10026,Asthma in Younger Adults,PQI_15,2010
1699,130.46,172.15,10026,Asthma in Younger Adults,PQI_15,2011
1700,115.5,113.74,10026,Asthma in Younger Adults,PQI_15,2012
1737,803.99,708.07,10027,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1738,752.62,783.09,10027,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1739,766.37,780.01,10027,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1740,751.41,952.6,10027,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1769,129.91,134.86,10027,Asthma in Younger Adults,PQI_15,2009
1770,100.87,108.57,10027,Asthma in Younger Adults,PQI_15,2010
1771,96.58,87.23,10027,Asthma in Younger Adults,PQI_15,2011
1772,95.81,97.9,10027,Asthma in Younger Adults,PQI_15,2012
1810,473.44,283.58,10028,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1811,437.14,229.46,10028,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1812,444.4,247.61,10028,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1813,449.35,155.32,10028,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1841,61.05,19.58,10028,Asthma in Younger Adults,PQI_15,2009
1842,50.27,6.71,10028,Asthma in Younger Adults,PQI_15,2010
1843,48.07,13.09,10028,Asthma in Younger Adults,PQI_15,2011
1844,51.26,0.0,10028,Asthma in Younger Adults,PQI_15,2012
1881,818.62,1741.41,10029,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1882,784.08,1550.23,10029,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1883,787.27,1449.14,10029,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1884,763.62,1478.18,10029,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1913,140.8,274.78,10029,Asthma in Younger Adults,PQI_15,2009
1914,108.24,228.47,10029,Asthma in Younger Adults,PQI_15,2010
1915,103.07,234.08,10029,Asthma in Younger Adults,PQI_15,2011
1916,98.56,297.33,10029,Asthma in Younger Adults,PQI_15,2012
1953,934.34,1723.7,10030,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
1954,873.29,1670.24,10030,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
1955,888.03,1361.8,10030,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
1956,866.58,1361.47,10030,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
1985,200.31,336.27,10030,Asthma in Younger Adults,PQI_15,2009
1986,155.65,300.41,10030,Asthma in Younger Adults,PQI_15,2010
1987,145.09,279.73,10030,Asthma in Younger Adults,PQI_15,2011
1988,136.84,404.36,10030,Asthma in Younger Adults,PQI_15,2012
2025,822.47,662.64,10031,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2026,783.97,675.95,10031,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2027,781.88,637.56,10031,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2028,760.76,626.45,10031,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2057,152.02,67.76,10031,Asthma in Younger Adults,PQI_15,2009
2058,115.94,95.92,10031,Asthma in Younger Adults,PQI_15,2010
2059,109.67,78.54,10031,Asthma in Younger Adults,PQI_15,2011
2060,103.51,128.92,10031,Asthma in Younger Adults,PQI_15,2012
2097,776.49,637.23,10032,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2098,744.48,692.45,10032,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2099,745.91,682.99,10032,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2100,721.16,768.57,10032,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2129,133.65,72.27,10032,Asthma in Younger Adults,PQI_15,2009
2130,101.97,56.54,10032,Asthma in Younger Adults,PQI_15,2010
2131,97.35,66.0,10032,Asthma in Younger Adults,PQI_15,2011
2132,97.35,63.03,10032,Asthma in Younger Adults,PQI_15,2012
2169,693.22,571.45,10033,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2170,670.56,348.26,10033,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2171,657.03,428.67,10033,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2172,636.24,372.46,10033,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2201,120.12,125.62,10033,Asthma in Younger Adults,PQI_15,2009
2202,90.86,61.27,10033,Asthma in Younger Adults,PQI_15,2010
2203,86.57,31.35,10033,Asthma in Younger Adults,PQI_15,2011
2204,86.79,33.44,10033,Asthma in Younger Adults,PQI_15,2012
2241,674.74,674.96,10034,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2242,648.12,469.59,10034,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2243,628.43,529.98,10034,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2244,636.68,573.43,10034,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2273,130.68,209.66,10034,Asthma in Younger Adults,PQI_15,2009
2274,98.78,72.05,10034,Asthma in Younger Adults,PQI_15,2010
2275,94.05,75.35,10034,Asthma in Younger Adults,PQI_15,2011
2276,94.16,90.97,10034,Asthma in Younger Adults,PQI_15,2012
2313,825.44,2020.92,10035,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2314,788.04,1744.6,10035,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2315,783.31,2112.77,10035,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2316,762.52,2112.11,10035,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2345,165.55,350.46,10035,Asthma in Younger Adults,PQI_15,2009
2346,127.71,190.74,10035,Asthma in Younger Adults,PQI_15,2010
2347,119.68,231.55,10035,Asthma in Younger Adults,PQI_15,2011
2348,114.18,170.83,10035,Asthma in Younger Adults,PQI_15,2012
2385,488.84,524.7,10036,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2386,456.83,691.57,10036,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2387,475.31,452.54,10036,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2388,471.57,533.06,10036,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2417,74.14,92.4,10036,Asthma in Younger Adults,PQI_15,2009
2418,61.82,59.84,10036,Asthma in Younger Adults,PQI_15,2010
2419,62.04,52.47,10036,Asthma in Younger Adults,PQI_15,2011
2420,54.67,56.21,10036,Asthma in Younger Adults,PQI_15,2012
2457,1045.33,1508.98,10037,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2458,975.81,1094.39,10037,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2459,1002.43,996.49,10037,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2460,981.64,1147.3,10037,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2489,209.66,324.94,10037,Asthma in Younger Adults,PQI_15,2009
2490,162.91,378.95,10037,Asthma in Younger Adults,PQI_15,2010
2491,150.37,177.32,10037,Asthma in Younger Adults,PQI_15,2011
2492,143.22,145.53,10037,Asthma in Younger Adults,PQI_15,2012
2529,509.85,665.06,10038,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2530,491.37,553.85,10038,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2531,497.42,423.28,10038,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2532,505.56,738.98,10038,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2561,67.1,32.45,10038,Asthma in Younger Adults,PQI_15,2009
2562,55.33,53.24,10038,Asthma in Younger Adults,PQI_15,2010
2563,53.79,31.46,10038,Asthma in Younger Adults,PQI_15,2011
2564,53.57,19.47,10038,Asthma in Younger Adults,PQI_15,2012
2601,993.3,1166.66,10039,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2602,932.25,1094.61,10039,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2603,952.27,1102.86,10039,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
2604,914.21,1672.77,10039,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
2633,198.33,246.29,10039,Asthma in Younger Adults,PQI_15,2009
2634,154.11,353.65,10039,Asthma in Younger Adults,PQI_15,2010
2635,143.99,284.57,10039,Asthma in Younger Adults,PQI_15,2011
2636,135.85,180.4,10039,Asthma in Younger Adults,PQI_15,2012
2673,712.91,435.93,10040,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
2674,681.34,436.92,10040,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
2675,674.19,408.21,10040,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
