,data_valuemessage,geo_entity_id,geo_entity_name,geo_type_name,indicator_data_id,indicator_id,measure,name,year_description
19,2.3,207,East Flatbush - Flatbush,UHF42,130698,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
20,2.4,208,Canarsie - Flatlands,UHF42,130699,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
21,2.8,209,Bensonhurst - Bay Ridge,UHF42,130700,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
22,2.4,210,Coney Island - Sheepshead Bay,UHF42,130701,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
23,2.8,211,Williamsburg - Bushwick,UHF42,130702,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
24,4.1,301,Washington Heights,UHF42,130703,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
25,3.9,302,Central Harlem - Morningside Heights,UHF42,130704,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
26,4.2,303,East Harlem,UHF42,130705,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
27,3.9,304,Upper West Side,UHF42,130706,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
28,4.5,305,Upper East Side,UHF42,130707,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
29,4.9,306,Chelsea - Clinton,UHF42,130708,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
30,5.3,307,Gramercy Park - Murray Hill,UHF42,130709,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
31,4.7,308,Greenwich Village - SoHo,UHF42,130710,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
32,5.0,309,Union Square - Lower East Side,UHF42,130711,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
33,6.3,310,Lower Manhattan,UHF42,130712,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
34,2.7,401,Long Island City - Astoria,UHF42,130713,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
35,2.2,402,West Queens,UHF42,130714,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
36,1.9,403,Flushing - Clearview,UHF42,130715,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
37,1.9,404,Bayside - Little Neck,UHF42,130716,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
38,2.0,405,Ridgewood - Forest Hills,UHF42,130717,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
39,1.7,406,Fresh Meadows,UHF42,130718,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
40,1.8,407,Southwest Queens,UHF42,130719,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
41,1.8,408,Jamaica,UHF42,130720,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
42,1.8,409,Southeast Queens,UHF42,130721,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
43,1.4,410,Rockaways,UHF42,130722,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
44,2.5,501,Port Richmond,UHF42,130723,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
45,1.3,502,Stapleton - St. George,UHF42,130724,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
46,1.6,503,Willowbrook,UHF42,130725,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
47,1.1,504,South Beach - Tottenville,UHF42,130726,646,Average Concentration,Air Toxics Concentrations- Average Benzene Concentrations,2005
48,3.3,1,Bronx,Borough,130776,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
49,3.0,2,Brooklyn,Borough,130777,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
50,4.3,3,Manhattan,Borough,130778,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
51,2.7,4,Queens,Borough,130779,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
52,2.3,5,Staten Island,Borough,130780,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
53,3.2,1,New York City,Citywide,130775,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
54,3.2,101,Kingsbridge - Riverdale,UHF42,130733,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
55,3.2,102,Northeast Bronx,UHF42,130734,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
56,3.2,103,Fordham - Bronx Pk,UHF42,130735,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
57,3.2,104,Pelham - Throgs Neck,UHF42,130736,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
58,3.4,105,Crotona -Tremont,UHF42,130737,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
59,3.6,106,High Bridge - Morrisania,UHF42,130738,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
60,3.5,107,Hunts Point - Mott Haven,UHF42,130739,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
61,3.5,201,Greenpoint,UHF42,130740,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
62,3.2,202,Downtown - Heights - Slope,UHF42,130741,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
63,3.0,203,Bedford Stuyvesant - Crown Heights,UHF42,130742,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
64,2.8,204,East New York,UHF42,130743,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
65,3.2,205,Sunset Park,UHF42,130744,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
66,2.9,206,Borough Park,UHF42,130745,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
67,2.8,207,East Flatbush - Flatbush,UHF42,130746,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
68,2.8,208,Canarsie - Flatlands,UHF42,130747,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
69,2.7,209,Bensonhurst - Bay Ridge,UHF42,130748,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
70,2.5,210,Coney Island - Sheepshead Bay,UHF42,130749,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
71,3.1,211,Williamsburg - Bushwick,UHF42,130750,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
72,3.9,301,Washington Heights,UHF42,130751,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
73,4.2,302,Central Harlem - Morningside Heights,UHF42,130752,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
74,4.2,303,East Harlem,UHF42,130753,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
75,4.0,304,Upper West Side,UHF42,130754,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
76,4.5,305,Upper East Side,UHF42,130755,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
77,4.6,306,Chelsea - Clinton,UHF42,130756,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
78,5.3,307,Gramercy Park - Murray Hill,UHF42,130757,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
79,4.0,308,Greenwich Village - SoHo,UHF42,130758,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
80,4.0,309,Union Square - Lower East Side,UHF42,130759,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
81,4.2,310,Lower Manhattan,UHF42,130760,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
82,3.6,401,Long Island City - Astoria,UHF42,130761,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
83,3.4,402,West Queens,UHF42,130762,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
84,2.7,403,Flushing - Clearview,UHF42,130763,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
85,2.5,404,Bayside - Little Neck,UHF42,130764,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
86,3.0,405,Ridgewood - Forest Hills,UHF42,130765,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
87,2.3,406,Fresh Meadows,UHF42,130766,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
88,2.4,407,Southwest Queens,UHF42,130767,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
89,2.4,408,Jamaica,UHF42,130768,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
90,2.4,409,Southeast Queens,UHF42,130769,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
91,2.0,410,Rockaways,UHF42,130770,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
92,2.4,501,Port Richmond,UHF42,130771,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
93,2.3,502,Stapleton - St. George,UHF42,130772,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
94,2.3,503,Willowbrook,UHF42,130773,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
95,2.2,504,South Beach - Tottenville,UHF42,130774,647,Average Concentration,Air Toxics Concentrations- Average Formaldehyde Concentrations,2005
96,42.7,1,Bronx,Borough,130536,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
97,22.8,2,Brooklyn,Borough,130537,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
98,161.1,3,Manhattan,Borough,130538,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
99,16.1,4,Queens,Borough,130539,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
100,2.7,5,Staten Island,Borough,130540,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
101,29.4,1,New York City,Citywide,130535,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
102,42.5,101,Kingsbridge - Riverdale,UHF42,130493,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
103,33.8,102,Northeast Bronx,UHF42,130494,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
104,71.0,103,Fordham - Bronx Pk,UHF42,130495,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
105,24.9,104,Pelham - Throgs Neck,UHF42,130496,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
106,62.5,105,Crotona -Tremont,UHF42,130497,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
107,78.0,106,High Bridge - Morrisania,UHF42,130498,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
108,36.8,107,Hunts Point - Mott Haven,UHF42,130499,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
109,18.9,201,Greenpoint,UHF42,130500,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
110,32.0,202,Downtown - Heights - Slope,UHF42,130501,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
111,31.7,203,Bedford Stuyvesant - Crown Heights,UHF42,130502,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
112,14.7,204,East New York,UHF42,130503,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
113,13.4,205,Sunset Park,UHF42,130504,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
114,34.8,206,Borough Park,UHF42,130505,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
115,33.5,207,East Flatbush - Flatbush,UHF42,130506,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
116,6.7,208,Canarsie - Flatlands,UHF42,130507,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
117,26.5,209,Bensonhurst - Bay Ridge,UHF42,130508,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
118,23.7,210,Coney Island - Sheepshead Bay,UHF42,130509,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
119,27.8,211,Williamsburg - Bushwick,UHF42,130510,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
120,115.3,301,Washington Heights,UHF42,130511,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
121,82.1,302,Central Harlem - Morningside Heights,UHF42,130512,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
122,55.8,303,East Harlem,UHF42,130513,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
123,247.9,304,Upper West Side,UHF42,130514,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
124,269.8,305,Upper East Side,UHF42,130515,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
125,204.8,306,Chelsea - Clinton,UHF42,130516,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
126,284.7,307,Gramercy Park - Murray Hill,UHF42,130517,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
127,132.5,308,Greenwich Village - SoHo,UHF42,130518,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
128,126.1,309,Union Square - Lower East Side,UHF42,130519,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
129,118.7,310,Lower Manhattan,UHF42,130520,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
130,30.6,401,Long Island City - Astoria,UHF42,130521,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
131,24.6,402,West Queens,UHF42,130522,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
132,18.7,403,Flushing - Clearview,UHF42,130523,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
133,10.4,404,Bayside - Little Neck,UHF42,130524,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
134,23.6,405,Ridgewood - Forest Hills,UHF42,130525,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
135,15.3,406,Fresh Meadows,UHF42,130526,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
136,14.5,407,Southwest Queens,UHF42,130527,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
137,13.2,408,Jamaica,UHF42,130528,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
138,8.1,409,Southeast Queens,UHF42,130529,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
139,6.1,410,Rockaways,UHF42,130530,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
140,2.8,501,Port Richmond,UHF42,130531,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
141,4.7,502,Stapleton - St. George,UHF42,130532,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
142,2.1,503,Willowbrook,UHF42,130533,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
143,2.0,504,South Beach - Tottenville,UHF42,130534,642,Per km2,Boiler Emissions- Total NOx Emissions,2013
144,1.2,1,Bronx,Borough,130488,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
145,0.1,2,Brooklyn,Borough,130489,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
146,5.9,3,Manhattan,Borough,130490,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
147,0.3,4,Queens,Borough,130491,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
148,0.0,5,Staten Island,Borough,130492,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
149,0.7,1,New York City,Citywide,130487,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
150,2.0,101,Kingsbridge - Riverdale,UHF42,130445,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
151,0.3,102,Northeast Bronx,UHF42,130446,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
152,3.0,103,Fordham - Bronx Pk,UHF42,130447,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
153,0.5,104,Pelham - Throgs Neck,UHF42,130448,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
154,2.0,105,Crotona -Tremont,UHF42,130449,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
155,2.4,106,High Bridge - Morrisania,UHF42,130450,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
156,0.4,107,Hunts Point - Mott Haven,UHF42,130451,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
157,0.1,201,Greenpoint,UHF42,130452,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
158,0.1,202,Downtown - Heights - Slope,UHF42,130453,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
159,0.1,203,Bedford Stuyvesant - Crown Heights,UHF42,130454,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
160,0.0,204,East New York,UHF42,130455,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
161,0.0,205,Sunset Park,UHF42,130456,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
162,0.2,206,Borough Park,UHF42,130457,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
163,0.3,207,East Flatbush - Flatbush,UHF42,130458,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
164,0.0,208,Canarsie - Flatlands,UHF42,130459,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
165,0.2,209,Bensonhurst - Bay Ridge,UHF42,130460,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
166,0.1,210,Coney Island - Sheepshead Bay,UHF42,130461,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
167,0.1,211,Williamsburg - Bushwick,UHF42,130462,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
168,5.8,301,Washington Heights,UHF42,130463,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
169,2.0,302,Central Harlem - Morningside Heights,UHF42,130464,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
170,1.3,303,East Harlem,UHF42,130465,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
171,11.4,304,Upper West Side,UHF42,130466,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
172,10.8,305,Upper East Side,UHF42,130467,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
173,7.7,306,Chelsea - Clinton,UHF42,130468,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
174,9.0,307,Gramercy Park - Murray Hill,UHF42,130469,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
175,4.1,308,Greenwich Village - SoHo,UHF42,130470,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
176,3.0,309,Union Square - Lower East Side,UHF42,130471,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
177,1.7,310,Lower Manhattan,UHF42,130472,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
178,0.8,401,Long Island City - Astoria,UHF42,130473,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
179,0.3,402,West Queens,UHF42,130474,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
180,0.6,403,Flushing - Clearview,UHF42,130475,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
181,0.2,404,Bayside - Little Neck,UHF42,130476,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
182,0.3,405,Ridgewood - Forest Hills,UHF42,130477,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
183,0.5,406,Fresh Meadows,UHF42,130478,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
184,0.1,407,Southwest Queens,UHF42,130479,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
185,0.1,408,Jamaica,UHF42,130480,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
186,0.0,409,Southeast Queens,UHF42,130481,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
187,0.0,410,Rockaways,UHF42,130482,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
188,0.0,501,Port Richmond,UHF42,130483,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
189,0.0,502,Stapleton - St. George,UHF42,130484,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
190,0.0,503,Willowbrook,UHF42,130485,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
191,0.0,504,South Beach - Tottenville,UHF42,130486,641,Per km2,Boiler Emissions- Total PM2.5 Emissions,2013
192,10.3,1,Bronx,Borough,130440,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
193,0.8,2,Brooklyn,Borough,130441,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
194,50.6,3,Manhattan,Borough,130442,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
195,2.2,4,Queens,Borough,130443,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
196,0.1,5,Staten Island,Borough,130444,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
197,6.1,1,New York City,Citywide,130439,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
198,17.6,101,Kingsbridge - Riverdale,UHF42,130397,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
199,2.2,102,Northeast Bronx,UHF42,130398,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
200,24.5,103,Fordham - Bronx Pk,UHF42,130399,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
201,4.4,104,Pelham - Throgs Neck,UHF42,130400,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
202,16.9,105,Crotona -Tremont,UHF42,130401,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
203,19.7,106,High Bridge - Morrisania,UHF42,130402,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
204,3.3,107,Hunts Point - Mott Haven,UHF42,130403,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
205,0.4,201,Greenpoint,UHF42,130404,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
206,0.8,202,Downtown - Heights - Slope,UHF42,130405,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
207,0.9,203,Bedford Stuyvesant - Crown Heights,UHF42,130406,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
208,0.1,204,East New York,UHF42,130407,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
209,0.1,205,Sunset Park,UHF42,130408,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
210,1.5,206,Borough Park,UHF42,130409,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
211,2.3,207,East Flatbush - Flatbush,UHF42,130410,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
212,0.0,208,Canarsie - Flatlands,UHF42,130411,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
213,1.7,209,Bensonhurst - Bay Ridge,UHF42,130412,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
214,0.9,210,Coney Island - Sheepshead Bay,UHF42,130413,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
215,0.3,211,Williamsburg - Bushwick,UHF42,130414,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
216,51.0,301,Washington Heights,UHF42,130415,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
217,15.7,302,Central Harlem - Morningside Heights,UHF42,130416,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
218,11.6,303,East Harlem,UHF42,130417,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
219,99.7,304,Upper West Side,UHF42,130418,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
220,95.0,305,Upper East Side,UHF42,130419,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
221,67.4,306,Chelsea - Clinton,UHF42,130420,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
222,78.8,307,Gramercy Park - Murray Hill,UHF42,130421,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
223,32.9,308,Greenwich Village - SoHo,UHF42,130422,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
224,24.9,309,Union Square - Lower East Side,UHF42,130423,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
225,13.7,310,Lower Manhattan,UHF42,130424,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
226,6.7,401,Long Island City - Astoria,UHF42,130425,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
227,2.3,402,West Queens,UHF42,130426,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
228,5.1,403,Flushing - Clearview,UHF42,130427,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
229,1.6,404,Bayside - Little Neck,UHF42,130428,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
230,2.7,405,Ridgewood - Forest Hills,UHF42,130429,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
231,4.3,406,Fresh Meadows,UHF42,130430,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
232,0.8,407,Southwest Queens,UHF42,130431,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
233,0.5,408,Jamaica,UHF42,130432,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
234,0.3,409,Southeast Queens,UHF42,130433,640,Per km2,Boiler Emissions- Total SO2 Emissions,2013
